t=210.51s | axis_5 | normal → alert | residual=5.79
t=212.43s | axis_5 | alert → normal | residual=1.81
t=214.38s | axis_5 | normal → alert | residual=5.96
t=216.26s | axis_5 | alert → normal | residual=0.93
t=265.46s | axis_5 | normal → alert | residual=4.13
t=267.46s | axis_5 | alert → normal | residual=1.80
t=326.18s | axis_5 | normal → alert | residual=7.51
t=328.05s | axis_5 | alert → normal | residual=2.33
t=349.18s | axis_5 | normal → alert | residual=7.56
t=351.14s | axis_5 | alert → normal | residual=-1.52
t=943.84s | axis_5 | normal → error | residual=13.47
t=945.69s | axis_5 | error → alert | residual=5.36
t=947.57s | axis_5 | alert → normal | residual=2.25
t=966.85s | axis_5 | normal → alert | residual=5.77
t=968.75s | axis_5 | alert → normal | residual=0.90
t=1002.59s | axis_5 | normal → alert | residual=4.67
t=1004.59s | axis_5 | alert → normal | residual=-1.54
t=1021.93s | axis_5 | normal → error | residual=9.86
t=1023.82s | axis_5 | error → normal | residual=-1.81
t=1050.09s | axis_5 | normal → alert | residual=4.02
t=1051.96s | axis_5 | alert → normal | residual=0.60
t=1104.65s | axis_5 | normal → alert | residual=5.60
t=1106.62s | axis_5 | alert → normal | residual=0.38
t=1112.79s | axis_5 | normal → error | residual=11.31
t=1114.71s | axis_5 | error → normal | residual=-1.30
t=1129.99s | axis_5 | normal → alert | residual=5.60
t=1131.88s | axis_5 | alert → normal | residual=-1.74
t=1587.08s | axis_5 | normal → alert | residual=4.83
t=1590.93s | axis_5 | alert → normal | residual=3.33
t=1594.81s | axis_5 | normal → alert | residual=5.08
t=1596.74s | axis_5 | alert → normal | residual=1.68
t=1598.68s | axis_5 | normal → alert | residual=6.10
t=1600.58s | axis_5 | alert → normal | residual=-1.23
t=1642.56s | axis_5 | normal → alert | residual=7.15
t=1644.55s | axis_5 | alert → normal | residual=2.39
t=1698.06s | axis_5 | normal → alert | residual=7.67
t=1699.97s | axis_5 | alert → normal | residual=1.32
t=1701.86s | axis_5 | normal → alert | residual=6.42
t=1705.69s | axis_5 | alert → normal | residual=-2.60
t=2497.64s | axis_5 | normal → alert | residual=4.74
t=2499.60s | axis_5 | alert → normal | residual=0.37
t=2505.29s | axis_5 | normal → alert | residual=6.66
t=2507.29s | axis_5 | alert → normal | residual=-1.60
t=2554.76s | axis_5 | normal → alert | residual=6.92
t=2556.68s | axis_5 | alert → normal | residual=-1.27
t=3008.74s | axis_5 | normal → error | residual=16.77
t=3010.75s | axis_5 | error → normal | residual=-1.42
t=3213.64s | axis_5 | normal → alert | residual=4.49
t=3215.64s | axis_5 | alert → normal | residual=-1.08
t=3225.40s | axis_5 | normal → alert | residual=4.08
t=3227.39s | axis_5 | alert → normal | residual=-2.02
t=3229.33s | axis_5 | normal → alert | residual=8.08
t=3231.22s | axis_5 | alert → normal | residual=-1.75
t=3255.47s | axis_5 | normal → error | residual=13.83
t=3257.43s | axis_5 | error → alert | residual=8.54
t=3259.39s | axis_5 | alert → normal | residual=0.72
t=3368.42s | axis_5 | normal → error | residual=15.37
t=3374.05s | axis_5 | error → normal | residual=-2.29
t=3417.76s | axis_5 | normal → alert | residual=5.83
t=3419.74s | axis_5 | alert → normal | residual=-1.37
t=3461.26s | axis_5 | normal → alert | residual=5.95
t=3463.21s | axis_5 | alert → normal | residual=2.44
t=3484.30s | axis_5 | normal → alert | residual=7.89
t=3486.27s | axis_5 | alert → normal | residual=-1.99
t=3599.88s | axis_5 | normal → alert | residual=4.04
t=3601.78s | axis_5 | alert → normal | residual=1.89
t=3647.39s | axis_5 | normal → error | residual=14.44
t=3649.33s | axis_5 | error → normal | residual=2.44
t=3655.21s | axis_5 | normal → alert | residual=7.38
t=3657.16s | axis_5 | alert → normal | residual=1.41
t=3719.78s | axis_5 | normal → alert | residual=8.19
t=3721.68s | axis_5 | alert → normal | residual=-2.34
t=3852.77s | axis_5 | normal → alert | residual=4.99
t=3854.80s | axis_5 | alert → normal | residual=-2.11
t=3944.51s | axis_5 | normal → error | residual=11.73
t=3946.35s | axis_5 | error → alert | residual=5.68
t=3948.22s | axis_5 | alert → normal | residual=2.58
t=4029.77s | axis_5 | normal → alert | residual=4.43
t=4031.72s | axis_5 | alert → normal | residual=-1.92
t=4061.91s | axis_5 | normal → error | residual=15.20
t=4063.80s | axis_5 | error → normal | residual=-1.47
t=4130.61s | axis_5 | normal → alert | residual=8.68
t=4132.53s | axis_5 | alert → normal | residual=-1.79
t=5150.74s | axis_5 | normal → alert | residual=6.76
t=5152.64s | axis_5 | alert → normal | residual=1.69
t=5165.83s | axis_5 | normal → alert | residual=5.78
t=5167.83s | axis_5 | alert → normal | residual=0.09
t=5241.66s | axis_5 | normal → alert | residual=6.67
t=5249.76s | axis_5 | alert → normal | residual=1.08
t=5257.59s | axis_5 | normal → alert | residual=5.02
t=5259.55s | axis_5 | alert → normal | residual=-2.33
t=5344.57s | axis_5 | normal → alert | residual=5.70
t=5346.45s | axis_5 | alert → normal | residual=2.80
t=5451.02s | axis_5 | normal → alert | residual=6.71
t=5452.91s | axis_5 | alert → normal | residual=2.26
t=5474.00s | axis_5 | normal → alert | residual=8.14
t=5475.99s | axis_5 | alert → normal | residual=-1.81
t=5530.42s | axis_5 | normal → alert | residual=7.45
t=5532.24s | axis_5 | alert → error | residual=14.37
t=5534.17s | axis_5 | error → normal | residual=0.30
t=5581.70s | axis_5 | normal → alert | residual=5.75
t=5583.64s | axis_5 | alert → normal | residual=-2.03
t=5644.46s | axis_5 | normal → alert | residual=7.29
t=5646.30s | axis_5 | alert → normal | residual=-1.13
t=5746.92s | axis_5 | normal → alert | residual=5.48
t=5748.92s | axis_5 | alert → normal | residual=-1.10
t=5794.52s | axis_5 | normal → error | residual=11.48
t=5796.47s | axis_5 | error → normal | residual=-1.46
t=5864.85s | axis_5 | normal → error | residual=9.88
t=5866.77s | axis_5 | error → normal | residual=-2.00
t=5914.45s | axis_5 | normal → alert | residual=8.19
t=5916.33s | axis_5 | alert → normal | residual=-1.51
t=6002.07s | axis_5 | normal → error | residual=11.37
t=6003.99s | axis_5 | error → normal | residual=-1.26
t=6070.21s | axis_5 | normal → alert | residual=4.27
t=6072.20s | axis_5 | alert → normal | residual=-1.08
t=6109.64s | axis_5 | normal → error | residual=10.38
t=6111.56s | axis_5 | error → alert | residual=6.05
t=6113.47s | axis_5 | alert → normal | residual=2.04
t=6163.19s | axis_5 | normal → error | residual=9.46
t=6165.10s | axis_5 | error → normal | residual=3.04
t=6169.06s | axis_5 | normal → alert | residual=4.03
t=6170.96s | axis_5 | alert → normal | residual=1.37
t=6220.55s | axis_5 | normal → alert | residual=4.50
t=6222.48s | axis_5 | alert → normal | residual=-1.48
t=6239.86s | axis_5 | normal → alert | residual=7.15
t=6241.78s | axis_5 | alert → normal | residual=-1.72
t=6360.90s | axis_5 | normal → alert | residual=7.23
t=6364.78s | axis_5 | alert → normal | residual=3.15
t=6372.59s | axis_5 | normal → alert | residual=6.93
t=6374.64s | axis_5 | alert → normal | residual=-1.23
t=6431.14s | axis_5 | normal → error | residual=16.70
t=6433.02s | axis_5 | error → normal | residual=-2.07
t=6476.38s | axis_5 | normal → alert | residual=4.17
t=6478.28s | axis_5 | alert → normal | residual=1.53
t=6587.19s | axis_5 | normal → error | residual=16.55
t=6589.11s | axis_5 | error → normal | residual=-1.19
t=6605.93s | axis_5 | normal → alert | residual=8.48
t=6607.80s | axis_5 | alert → normal | residual=-1.73
t=6630.28s | axis_5 | normal → error | residual=9.89
t=6632.14s | axis_5 | error → normal | residual=1.86
t=6653.17s | axis_5 | normal → alert | residual=4.92
t=6655.10s | axis_5 | alert → normal | residual=0.89
t=6683.69s | axis_5 | normal → alert | residual=4.97
t=6685.62s | axis_5 | alert → normal | residual=1.80
t=6736.86s | axis_5 | normal → alert | residual=4.15
t=6738.84s | axis_5 | alert → normal | residual=1.21
t=6742.65s | axis_5 | normal → alert | residual=8.19
t=6744.49s | axis_5 | alert → normal | residual=-2.39
t=6788.16s | axis_5 | normal → alert | residual=4.89
t=6790.07s | axis_5 | alert → normal | residual=1.11
t=6797.74s | axis_5 | normal → alert | residual=4.10
t=6799.64s | axis_5 | alert → normal | residual=-1.89
t=6851.22s | axis_5 | normal → alert | residual=4.27
t=6853.14s | axis_5 | alert → normal | residual=-1.91
t=6856.96s | axis_5 | normal → alert | residual=4.73
t=6862.64s | axis_5 | alert → normal | residual=-2.38
t=6891.19s | axis_5 | normal → alert | residual=8.19
t=6894.95s | axis_5 | alert → normal | residual=2.32
t=6914.23s | axis_5 | normal → alert | residual=5.18
t=6916.14s | axis_5 | alert → normal | residual=0.84
t=7256.73s | axis_5 | normal → alert | residual=8.49
t=7258.66s | axis_5 | alert → normal | residual=-1.74
t=7309.50s | axis_5 | normal → alert | residual=5.87
t=7315.59s | axis_5 | alert → normal | residual=1.57
