t=3012.61s | axis_7 | normal → error | residual=5.78
t=3014.51s | axis_7 | error → normal | residual=-2.33
t=3016.39s | axis_7 | normal → error | residual=5.95
t=3020.26s | axis_7 | error → normal | residual=-2.33
t=3025.98s | axis_7 | normal → alert | residual=1.16
t=3027.88s | axis_7 | alert → normal | residual=-2.14
t=3207.95s | axis_7 | normal → error | residual=5.53
t=3211.73s | axis_7 | error → normal | residual=-1.53
t=3221.45s | axis_7 | normal → error | residual=5.57
t=3223.42s | axis_7 | error → normal | residual=-1.66
t=3231.22s | axis_7 | normal → alert | residual=2.59
t=3233.10s | axis_7 | alert → normal | residual=-1.57
t=3270.94s | axis_7 | normal → error | residual=5.54
t=3272.89s | axis_7 | error → normal | residual=-1.80
t=3274.76s | axis_7 | normal → error | residual=4.97
t=3276.67s | axis_7 | error → normal | residual=-1.01
t=3308.87s | axis_7 | normal → error | residual=5.60
t=3312.86s | axis_7 | error → normal | residual=-2.16
t=3320.57s | axis_7 | normal → error | residual=5.65
t=3322.50s | axis_7 | error → normal | residual=-0.63
t=3362.61s | axis_7 | normal → error | residual=5.54
t=3368.42s | axis_7 | error → normal | residual=-2.27
t=3376.05s | axis_7 | normal → error | residual=5.64
t=3379.97s | axis_7 | error → normal | residual=-2.37
t=3385.58s | axis_7 | normal → alert | residual=1.10
t=3387.53s | axis_7 | alert → normal | residual=-2.29
t=3413.92s | axis_7 | normal → error | residual=5.41
t=3417.76s | axis_7 | error → normal | residual=-2.36
t=3421.68s | axis_7 | normal → error | residual=4.46
t=3425.50s | axis_7 | error → normal | residual=-1.70
t=3427.47s | axis_7 | normal → error | residual=4.84
t=3429.42s | axis_7 | error → normal | residual=-2.23
t=3431.29s | axis_7 | normal → error | residual=4.93
t=3433.22s | axis_7 | error → normal | residual=-1.71
t=3465.08s | axis_7 | normal → error | residual=5.82
t=3467.06s | axis_7 | error → alert | residual=1.73
t=3469.00s | axis_7 | alert → normal | residual=-2.18
t=3474.67s | axis_7 | normal → error | residual=5.69
t=3476.57s | axis_7 | error → normal | residual=-0.64
t=3486.27s | axis_7 | normal → alert | residual=2.71
t=3488.17s | axis_7 | alert → normal | residual=-0.84
t=3531.55s | axis_7 | normal → error | residual=5.68
t=3533.51s | axis_7 | error → normal | residual=-1.59
t=3535.48s | axis_7 | normal → error | residual=5.36
t=3537.39s | axis_7 | error → normal | residual=-2.23
t=3541.25s | axis_7 | normal → error | residual=5.74
t=3543.17s | axis_7 | error → normal | residual=-1.74
t=3545.09s | axis_7 | normal → error | residual=5.69
t=3548.94s | axis_7 | error → normal | residual=-1.72
t=3554.84s | axis_7 | normal → alert | residual=1.11
t=3556.69s | axis_7 | alert → normal | residual=-2.27
t=3597.91s | axis_7 | normal → error | residual=6.04
t=3601.78s | axis_7 | error → normal | residual=-1.93
t=3607.55s | axis_7 | normal → error | residual=5.82
t=3609.49s | axis_7 | error → normal | residual=-1.00
t=3611.39s | axis_7 | normal → error | residual=5.89
t=3613.27s | axis_7 | error → normal | residual=-0.36
t=3651.33s | axis_7 | normal → error | residual=3.92
t=3653.26s | axis_7 | error → normal | residual=-0.57
t=3662.90s | axis_7 | normal → error | residual=5.55
t=3664.83s | axis_7 | error → normal | residual=-2.25
t=3666.71s | axis_7 | normal → error | residual=5.32
t=3668.63s | axis_7 | error → normal | residual=-1.18
t=3713.89s | axis_7 | normal → alert | residual=1.14
t=3715.85s | axis_7 | alert → error | residual=5.64
t=3717.88s | axis_7 | error → alert | residual=2.66
t=3719.78s | axis_7 | alert → normal | residual=-2.41
t=3725.61s | axis_7 | normal → error | residual=5.66
t=3727.58s | axis_7 | error → normal | residual=-0.96
t=3729.53s | axis_7 | normal → error | residual=5.02
t=3731.45s | axis_7 | error → normal | residual=-0.72
t=3733.36s | axis_7 | normal → error | residual=5.07
t=3735.27s | axis_7 | error → normal | residual=-2.00
t=3765.24s | axis_7 | normal → error | residual=5.71
t=3767.20s | axis_7 | error → normal | residual=-1.99
t=3769.12s | axis_7 | normal → error | residual=5.65
t=3771.08s | axis_7 | error → normal | residual=-2.36
t=3774.81s | axis_7 | normal → error | residual=5.63
t=3782.40s | axis_7 | error → normal | residual=-2.09
t=3784.36s | axis_7 | normal → error | residual=5.16
t=3786.28s | axis_7 | error → normal | residual=-2.02
t=3788.22s | axis_7 | normal → alert | residual=1.04
t=3790.23s | axis_7 | alert → normal | residual=-1.24
t=3837.34s | axis_7 | normal → error | residual=5.82
t=3839.33s | axis_7 | error → normal | residual=-1.70
t=3847.05s | axis_7 | normal → error | residual=5.62
t=3848.93s | axis_7 | error → normal | residual=0.63
t=3858.63s | axis_7 | normal → alert | residual=2.82
t=3860.58s | axis_7 | alert → normal | residual=-0.25
t=3950.19s | axis_7 | normal → error | residual=5.82
t=3955.73s | axis_7 | error → normal | residual=-2.22
t=3961.36s | axis_7 | normal → error | residual=5.52
t=3963.27s | axis_7 | error → normal | residual=-1.22
t=3971.02s | axis_7 | normal → alert | residual=2.78
t=3972.90s | axis_7 | alert → normal | residual=-1.49
t=4004.96s | axis_7 | normal → error | residual=5.47
t=4006.89s | axis_7 | error → normal | residual=-0.98
t=4008.76s | axis_7 | normal → error | residual=5.43
t=4010.69s | axis_7 | error → normal | residual=-2.54
t=4014.50s | axis_7 | normal → error | residual=5.64
t=4022.21s | axis_7 | error → alert | residual=1.59
t=4024.00s | axis_7 | alert → error | residual=5.06
t=4025.84s | axis_7 | error → normal | residual=-1.84
t=4056.30s | axis_7 | normal → error | residual=5.86
t=4060.06s | axis_7 | error → normal | residual=-2.17
t=4065.78s | axis_7 | normal → error | residual=5.58
t=4067.70s | axis_7 | error → normal | residual=-1.59
t=4069.64s | axis_7 | normal → error | residual=5.64
t=4073.46s | axis_7 | error → normal | residual=-2.12
t=4079.30s | axis_7 | normal → alert | residual=2.68
t=4101.88s | axis_7 | alert → normal | residual=-2.03
t=4109.59s | axis_7 | normal → error | residual=5.65
t=4111.60s | axis_7 | error → normal | residual=-2.38
t=4115.44s | axis_7 | normal → error | residual=5.76
t=4122.99s | axis_7 | error → normal | residual=-1.93
t=4124.82s | axis_7 | normal → error | residual=5.21
t=4126.75s | axis_7 | error → normal | residual=-1.95
t=5147.02s | axis_7 | normal → error | residual=5.59
t=5148.88s | axis_7 | error → normal | residual=-2.09
t=5158.27s | axis_7 | normal → error | residual=5.75
t=5160.15s | axis_7 | error → normal | residual=-2.07
t=5161.99s | axis_7 | normal → error | residual=5.08
t=5163.91s | axis_7 | error → normal | residual=-0.81
t=5253.67s | axis_7 | normal → error | residual=5.55
t=5257.59s | axis_7 | error → normal | residual=-2.15
t=5259.55s | axis_7 | normal → error | residual=5.19
t=5263.36s | axis_7 | error → normal | residual=-2.15
t=5293.64s | axis_7 | normal → alert | residual=1.32
t=5295.63s | axis_7 | alert → error | residual=5.48
t=5297.50s | axis_7 | error → normal | residual=-2.33
t=5305.03s | axis_7 | normal → error | residual=5.05
t=5306.96s | axis_7 | error → normal | residual=0.95
t=5348.41s | axis_7 | normal → error | residual=5.80
t=5350.35s | axis_7 | error → normal | residual=-2.07
t=5358.03s | axis_7 | normal → error | residual=5.49
t=5359.96s | axis_7 | error → normal | residual=-2.45
t=5369.46s | axis_7 | normal → alert | residual=2.71
t=5371.38s | axis_7 | alert → normal | residual=-0.16
t=5397.92s | axis_7 | normal → error | residual=5.91
t=5401.65s | axis_7 | error → normal | residual=-1.98
t=5407.45s | axis_7 | normal → error | residual=5.85
t=5409.34s | axis_7 | error → normal | residual=-1.75
t=5411.26s | axis_7 | normal → error | residual=3.88
t=5413.21s | axis_7 | error → normal | residual=-0.26
t=5414.93s | axis_7 | normal → error | residual=4.95
t=5416.82s | axis_7 | error → normal | residual=-1.77
t=5454.86s | axis_7 | normal → error | residual=5.64
t=5456.77s | axis_7 | error → alert | residual=1.81
t=5458.66s | axis_7 | alert → normal | residual=-2.25
t=5464.42s | axis_7 | normal → error | residual=5.70
t=5466.35s | axis_7 | error → normal | residual=-0.22
t=5475.99s | axis_7 | normal → alert | residual=2.74
t=5477.94s | axis_7 | alert → normal | residual=-1.46
t=5545.62s | axis_7 | normal → error | residual=5.70
t=5547.59s | axis_7 | error → normal | residual=-1.91
t=5549.50s | axis_7 | normal → error | residual=5.10
t=5551.38s | axis_7 | error → normal | residual=-0.93
t=5585.59s | axis_7 | normal → error | residual=5.65
t=5587.52s | axis_7 | error → normal | residual=-1.93
t=5595.16s | axis_7 | normal → error | residual=5.96
t=5597.05s | axis_7 | error → normal | residual=0.03
t=5600.78s | axis_7 | normal → error | residual=5.07
t=5604.65s | axis_7 | error → normal | residual=-2.29
t=5608.50s | axis_7 | normal → alert | residual=1.43
t=5610.46s | axis_7 | alert → normal | residual=-1.31
t=5636.71s | axis_7 | normal → error | residual=5.91
t=5638.63s | axis_7 | error → normal | residual=-0.72
t=5648.15s | axis_7 | normal → error | residual=5.90
t=5650.10s | axis_7 | error → normal | residual=-1.93
t=5651.94s | axis_7 | normal → error | residual=5.20
t=5653.85s | axis_7 | error → normal | residual=-1.26
t=5688.15s | axis_7 | normal → error | residual=6.00
t=5689.98s | axis_7 | error → normal | residual=-2.10
t=5699.29s | axis_7 | normal → error | residual=5.34
t=5701.18s | axis_7 | error → normal | residual=-2.23
t=5703.12s | axis_7 | normal → error | residual=4.97
t=5705.05s | axis_7 | error → normal | residual=0.57
t=5737.40s | axis_7 | normal → alert | residual=1.03
t=5739.34s | axis_7 | alert → error | residual=5.60
t=5741.22s | axis_7 | error → normal | residual=-1.42
t=5748.92s | axis_7 | normal → error | residual=5.60
t=5750.88s | axis_7 | error → normal | residual=-0.09
t=5754.72s | axis_7 | normal → error | residual=4.90
t=5758.54s | axis_7 | error → normal | residual=-2.41
t=5792.61s | axis_7 | normal → error | residual=5.63
t=5794.52s | axis_7 | error → normal | residual=-2.33
t=5798.44s | axis_7 | normal → error | residual=5.89
t=5802.20s | axis_7 | error → normal | residual=-2.28
t=5804.08s | axis_7 | normal → error | residual=5.05
t=5805.98s | axis_7 | error → normal | residual=-1.22
t=5807.84s | axis_7 | normal → error | residual=5.08
t=5809.72s | axis_7 | error → normal | residual=-1.30
t=5840.08s | axis_7 | normal → error | residual=5.48
t=5842.10s | axis_7 | error → normal | residual=-1.20
t=5843.97s | axis_7 | normal → error | residual=6.03
t=5845.87s | axis_7 | error → normal | residual=-2.20
t=5849.70s | axis_7 | normal → error | residual=5.52
t=5851.55s | axis_7 | error → normal | residual=-0.04
t=5853.52s | axis_7 | normal → error | residual=5.74
t=5857.25s | axis_7 | error → alert | residual=1.81
t=5859.02s | axis_7 | alert → error | residual=5.15
t=5861.09s | axis_7 | error → normal | residual=-1.69
t=5862.94s | axis_7 | normal → alert | residual=1.21
t=5864.85s | axis_7 | alert → normal | residual=-1.32
t=5895.17s | axis_7 | normal → error | residual=5.82
t=5897.08s | axis_7 | error → normal | residual=-1.97
t=5904.76s | axis_7 | normal → error | residual=3.18
t=5906.70s | axis_7 | error → alert | residual=1.01
t=5908.69s | axis_7 | alert → normal | residual=-1.07
t=5916.33s | axis_7 | normal → alert | residual=2.83
t=5918.33s | axis_7 | alert → normal | residual=0.64
t=5944.89s | axis_7 | normal → error | residual=5.59
t=5946.77s | axis_7 | error → normal | residual=-1.15
t=5948.70s | axis_7 | normal → error | residual=5.67
t=5950.62s | axis_7 | error → normal | residual=-2.26
t=5959.92s | axis_7 | normal → alert | residual=2.78
t=5961.81s | axis_7 | alert → normal | residual=-0.19
t=5963.65s | axis_7 | normal → error | residual=5.23
t=5965.66s | axis_7 | error → normal | residual=-1.47
t=5998.08s | axis_7 | normal → error | residual=5.49
t=6002.07s | axis_7 | error → normal | residual=-2.47
t=6007.66s | axis_7 | normal → error | residual=5.78
t=6009.58s | axis_7 | error → normal | residual=-0.92
t=6015.19s | axis_7 | normal → error | residual=4.96
t=6017.08s | axis_7 | error → normal | residual=-1.76
t=6049.22s | axis_7 | normal → error | residual=5.82
t=6052.95s | axis_7 | error → normal | residual=-2.45
t=6058.69s | axis_7 | normal → error | residual=5.72
t=6060.63s | axis_7 | error → normal | residual=-2.48
t=6062.61s | axis_7 | normal → error | residual=4.80
t=6064.50s | axis_7 | error → normal | residual=-0.27
t=6066.38s | axis_7 | normal → error | residual=4.99
t=6068.31s | axis_7 | error → normal | residual=-2.28
t=6115.43s | axis_7 | normal → error | residual=5.54
t=6117.38s | axis_7 | error → normal | residual=-0.87
t=6125.29s | axis_7 | normal → error | residual=5.86
t=6127.18s | axis_7 | error → normal | residual=-1.90
t=6129.25s | axis_7 | normal → error | residual=5.11
t=6133.16s | axis_7 | error → normal | residual=-2.30
t=6136.94s | axis_7 | normal → alert | residual=1.09
t=6138.86s | axis_7 | alert → normal | residual=-1.79
t=6165.10s | axis_7 | normal → error | residual=5.69
t=6167.08s | axis_7 | error → normal | residual=-2.24
t=6176.65s | axis_7 | normal → error | residual=6.02
t=6178.60s | axis_7 | error → normal | residual=-2.01
t=6180.47s | axis_7 | normal → error | residual=5.20
t=6182.28s | axis_7 | error → normal | residual=-1.28
t=6216.78s | axis_7 | normal → error | residual=5.76
t=6220.55s | axis_7 | error → normal | residual=-2.55
t=6226.44s | axis_7 | normal → error | residual=5.63
t=6228.35s | axis_7 | error → normal | residual=-1.71
t=6230.30s | axis_7 | normal → error | residual=4.84
t=6232.14s | axis_7 | error → normal | residual=-1.42
t=6234.03s | axis_7 | normal → error | residual=5.14
t=6235.96s | axis_7 | error → normal | residual=-2.22
t=6239.86s | axis_7 | normal → alert | residual=1.57
t=6241.78s | axis_7 | alert → normal | residual=-1.91
t=6364.78s | axis_7 | normal → error | residual=5.91
