t=261.61s | axis_1 | normal → alert | residual=9.99
t=263.50s | axis_1 | alert → normal | residual=-1.57
t=284.65s | axis_1 | normal → error | residual=19.88
t=286.59s | axis_1 | error → normal | residual=-1.81
t=326.18s | axis_1 | normal → alert | residual=5.35
t=328.05s | axis_1 | alert → normal | residual=-0.84
t=375.83s | axis_1 | normal → alert | residual=5.60
t=377.67s | axis_1 | alert → normal | residual=-1.67
t=398.98s | axis_1 | normal → error | residual=20.17
t=400.90s | axis_1 | error → normal | residual=-0.16
t=457.75s | axis_1 | normal → alert | residual=11.82
t=459.66s | axis_1 | alert → normal | residual=-1.72
t=471.10s | axis_1 | normal → error | residual=16.16
t=472.99s | axis_1 | error → normal | residual=-0.18
t=968.75s | axis_1 | normal → alert | residual=8.05
t=970.64s | axis_1 | alert → normal | residual=-1.63
t=1002.59s | axis_1 | normal → error | residual=18.67
t=1004.59s | axis_1 | error → normal | residual=0.83
t=1048.18s | axis_1 | normal → alert | residual=5.87
t=1050.09s | axis_1 | alert → normal | residual=-1.41
t=1051.96s | axis_1 | normal → alert | residual=11.86
t=1053.78s | axis_1 | alert → normal | residual=-2.35
t=1112.79s | axis_1 | normal → error | residual=18.62
t=1114.71s | axis_1 | error → normal | residual=0.19
t=1133.83s | axis_1 | normal → alert | residual=6.06
t=1135.67s | axis_1 | alert → normal | residual=-1.81
t=1179.50s | axis_1 | normal → alert | residual=5.50
t=1181.41s | axis_1 | alert → normal | residual=-1.45
t=1185.26s | axis_1 | normal → alert | residual=5.86
t=1187.21s | axis_1 | alert → normal | residual=-1.86
t=1198.94s | axis_1 | normal → alert | residual=9.74
t=1200.85s | axis_1 | alert → normal | residual=-1.81
t=1699.97s | axis_1 | normal → alert | residual=5.99
t=1701.86s | axis_1 | alert → normal | residual=4.49
t=2447.54s | axis_1 | normal → alert | residual=5.25
t=2449.50s | axis_1 | alert → normal | residual=-1.04
t=2505.29s | axis_1 | normal → error | residual=19.84
t=2507.29s | axis_1 | error → normal | residual=0.73
t=2515.06s | axis_1 | normal → alert | residual=8.42
t=2516.92s | axis_1 | alert → normal | residual=-1.63
t=2547.09s | axis_1 | normal → alert | residual=5.20
t=2549.05s | axis_1 | alert → normal | residual=-1.12
t=2575.86s | axis_1 | normal → alert | residual=7.21
t=2577.81s | axis_1 | alert → normal | residual=-1.96
t=2615.29s | axis_1 | normal → alert | residual=6.46
t=2617.26s | axis_1 | alert → normal | residual=-1.84
t=3024.09s | axis_1 | normal → alert | residual=10.50
t=3025.98s | axis_1 | alert → normal | residual=2.89
t=3330.30s | axis_1 | normal → alert | residual=11.21
t=3332.28s | axis_1 | alert → normal | residual=-1.87
t=3383.75s | axis_1 | normal → alert | residual=8.08
t=3385.58s | axis_1 | alert → normal | residual=2.61
t=3410.12s | axis_1 | normal → alert | residual=6.75
t=3412.06s | axis_1 | alert → normal | residual=-1.92
t=3417.76s | axis_1 | normal → alert | residual=10.51
