t=226.06s | axis_6 | normal → alert | residual=4.31
t=227.98s | axis_6 | alert → normal | residual=0.07
t=373.91s | axis_6 | normal → alert | residual=9.53
t=377.67s | axis_6 | alert → normal | residual=-1.28
t=471.10s | axis_6 | normal → alert | residual=7.79
t=472.99s | axis_6 | alert → normal | residual=-0.84
t=1018.11s | axis_6 | normal → alert | residual=5.75
t=1020.01s | axis_6 | alert → normal | residual=-0.29
t=1050.09s | axis_6 | normal → alert | residual=5.17
t=1051.96s | axis_6 | alert → normal | residual=-1.53
t=1070.69s | axis_6 | normal → alert | residual=4.16
t=1072.63s | axis_6 | alert → error | residual=12.39
t=1074.55s | axis_6 | error → normal | residual=-1.74
t=1076.49s | axis_6 | normal → error | residual=17.08
t=1078.39s | axis_6 | error → normal | residual=-1.04
t=1114.71s | axis_6 | normal → alert | residual=4.04
t=1116.64s | axis_6 | alert → normal | residual=-1.13
t=1610.21s | axis_6 | normal → alert | residual=4.22
t=1612.17s | axis_6 | alert → normal | residual=-0.69
t=1664.02s | axis_6 | normal → alert | residual=9.75
t=1665.94s | axis_6 | alert → normal | residual=1.84
t=1669.66s | axis_6 | normal → error | residual=15.93
t=1671.64s | axis_6 | error → normal | residual=-0.97
t=1698.06s | axis_6 | normal → alert | residual=5.52
t=1699.97s | axis_6 | alert → normal | residual=-0.59
t=1713.33s | axis_6 | normal → alert | residual=9.58
t=1715.33s | axis_6 | alert → normal | residual=2.96
t=2449.50s | axis_6 | normal → alert | residual=4.93
t=2451.43s | axis_6 | alert → normal | residual=-1.28
t=2457.12s | axis_6 | normal → alert | residual=5.46
t=2459.04s | axis_6 | alert → normal | residual=-0.59
t=2470.96s | axis_6 | normal → alert | residual=4.61
t=2472.86s | axis_6 | alert → normal | residual=-1.04
t=2497.64s | axis_6 | normal → alert | residual=6.98
t=2499.60s | axis_6 | alert → normal | residual=-0.55
t=2556.68s | axis_6 | normal → alert | residual=4.48
t=2558.56s | axis_6 | alert → normal | residual=-0.39
t=2973.01s | axis_6 | normal → alert | residual=4.21
t=2974.87s | axis_6 | alert → normal | residual=-1.17
t=2999.17s | axis_6 | normal → alert | residual=9.78
t=3003.09s | axis_6 | alert → normal | residual=-1.24
t=3280.43s | axis_6 | normal → error | residual=12.34
t=3282.32s | axis_6 | error → normal | residual=-1.25
t=3284.27s | axis_6 | normal → error | residual=17.37
t=3286.24s | axis_6 | error → normal | residual=-1.03
t=3334.25s | axis_6 | normal → error | residual=17.69
t=3336.23s | axis_6 | error → normal | residual=-0.88
t=3360.64s | axis_6 | normal → error | residual=10.84
t=3362.61s | axis_6 | error → normal | residual=-1.47
t=3410.12s | axis_6 | normal → alert | residual=6.22
t=3412.06s | axis_6 | alert → normal | residual=-1.38
t=3419.74s | axis_6 | normal → alert | residual=4.90
t=3421.68s | axis_6 | alert → normal | residual=-0.79
t=3433.22s | axis_6 | normal → alert | residual=6.03
t=3438.62s | axis_6 | alert → normal | residual=-1.02
t=3655.21s | axis_6 | normal → alert | residual=5.37
t=3657.16s | axis_6 | alert → normal | residual=-0.43
t=3670.61s | axis_6 | normal → alert | residual=6.52
t=3672.54s | axis_6 | alert → normal | residual=3.30
t=3721.68s | axis_6 | normal → alert | residual=4.06
t=3723.64s | axis_6 | alert → normal | residual=-1.50
t=3763.36s | axis_6 | normal → alert | residual=8.04
t=3765.24s | axis_6 | alert → normal | residual=-1.50
t=3786.28s | axis_6 | normal → alert | residual=5.76
t=3788.22s | axis_6 | alert → normal | residual=-0.78
t=3969.13s | axis_6 | normal → error | residual=11.95
t=3971.02s | axis_6 | error → normal | residual=-1.19
t=4003.02s | axis_6 | normal → error | residual=10.31
t=4004.96s | axis_6 | error → normal | residual=-1.47
t=4025.84s | axis_6 | normal → alert | residual=5.80
t=4027.81s | axis_6 | alert → normal | residual=-0.51
t=4101.88s | axis_6 | normal → error | residual=13.00
t=4103.78s | axis_6 | error → normal | residual=3.69
t=4126.75s | axis_6 | normal → alert | residual=5.67
t=4128.72s | axis_6 | alert → normal | residual=-0.67
t=5150.74s | axis_6 | normal → alert | residual=4.59
t=5152.64s | axis_6 | alert → normal | residual=-0.60
t=5167.83s | axis_6 | normal → error | residual=13.50
t=5169.75s | axis_6 | error → normal | residual=-1.24
t=5171.63s | axis_6 | normal → error | residual=15.10
t=5173.56s | axis_6 | error → normal | residual=-1.05
t=5263.36s | axis_6 | normal → alert | residual=4.13
t=5265.20s | axis_6 | alert → normal | residual=-0.29
t=5301.30s | axis_6 | normal → error | residual=13.34
t=5303.12s | axis_6 | error → normal | residual=-1.10
t=5314.35s | axis_6 | normal → alert | residual=8.73
t=5316.25s | axis_6 | alert → error | residual=12.77
t=5318.18s | axis_6 | error → normal | residual=-1.43
t=5320.11s | axis_6 | normal → error | residual=15.15
t=5322.01s | axis_6 | error → normal | residual=-1.07
t=5394.06s | axis_6 | normal → alert | residual=6.16
t=5395.93s | axis_6 | alert → normal | residual=-1.74
t=5403.58s | axis_6 | normal → alert | residual=4.90
t=5405.53s | axis_6 | alert → normal | residual=-0.72
t=5416.82s | axis_6 | normal → alert | residual=4.41
t=5418.71s | axis_6 | alert → normal | residual=-0.62
t=5477.94s | axis_6 | normal → alert | residual=4.52
t=5494.77s | axis_6 | alert → normal | residual=-1.25
t=5553.38s | axis_6 | normal → alert | residual=7.65
t=5555.20s | axis_6 | alert → error | residual=12.89
t=5557.17s | axis_6 | error → normal | residual=-1.24
t=5559.06s | axis_6 | normal → error | residual=12.62
t=5561.05s | axis_6 | error → normal | residual=-1.02
t=5604.65s | axis_6 | normal → alert | residual=5.28
t=5606.62s | axis_6 | alert → normal | residual=-0.67
t=5642.55s | axis_6 | normal → alert | residual=7.81
t=5644.46s | axis_6 | alert → normal | residual=-1.11
t=5655.81s | axis_6 | normal → alert | residual=9.23
t=5657.77s | axis_6 | alert → normal | residual=3.30
t=5686.23s | axis_6 | normal → alert | residual=4.89
t=5688.15s | axis_6 | alert → normal | residual=-1.37
t=5693.68s | axis_6 | normal → error | residual=11.17
t=5699.29s | axis_6 | error → normal | residual=-1.27
t=5707.05s | axis_6 | normal → alert | residual=4.45
t=5708.94s | axis_6 | alert → normal | residual=-0.20
t=5758.54s | axis_6 | normal → alert | residual=4.32
t=5764.27s | axis_6 | alert → normal | residual=-1.03
t=5785.05s | axis_6 | normal → error | residual=13.55
t=5786.94s | axis_6 | error → alert | residual=4.06
t=5788.76s | axis_6 | alert → normal | residual=-1.66
t=5836.12s | axis_6 | normal → error | residual=12.30
t=5838.06s | axis_6 | error → normal | residual=1.42
t=5861.09s | axis_6 | normal → alert | residual=4.16
t=5862.94s | axis_6 | alert → normal | residual=-0.54
t=5941.03s | axis_6 | normal → alert | residual=5.13
t=5944.89s | axis_6 | alert → normal | residual=-1.45
t=5952.57s | axis_6 | normal → alert | residual=5.12
t=5958.07s | axis_6 | alert → normal | residual=-1.02
t=6017.08s | axis_6 | normal → alert | residual=4.41
t=6022.80s | axis_6 | alert → normal | residual=-1.02
t=6045.41s | axis_6 | normal → alert | residual=5.81
t=6047.29s | axis_6 | alert → normal | residual=-1.30
t=6054.82s | axis_6 | normal → alert | residual=5.12
t=6056.75s | axis_6 | alert → normal | residual=-1.41
t=6133.16s | axis_6 | normal → alert | residual=4.54
t=6135.03s | axis_6 | alert → normal | residual=0.18
t=6170.96s | axis_6 | normal → alert | residual=4.36
t=6172.83s | axis_6 | alert → normal | residual=-0.30
t=6184.10s | axis_6 | normal → alert | residual=5.34
t=6186.03s | axis_6 | alert → error | residual=13.17
t=6187.99s | axis_6 | error → normal | residual=-1.64
t=6222.48s | axis_6 | normal → alert | residual=4.88
t=6224.41s | axis_6 | alert → normal | residual=-1.01
t=6370.72s | axis_6 | normal → alert | residual=9.90
t=6372.59s | axis_6 | alert → normal | residual=-0.88
t=6384.11s | axis_6 | normal → alert | residual=4.32
t=6385.98s | axis_6 | alert → normal | residual=-1.08
t=6421.55s | axis_6 | normal → alert | residual=9.15
t=6423.46s | axis_6 | alert → normal | residual=3.75
t=6476.38s | axis_6 | normal → alert | residual=5.53
t=6478.28s | axis_6 | alert → normal | residual=-0.75
t=6485.89s | axis_6 | normal → alert | residual=4.72
t=6487.80s | axis_6 | alert → normal | residual=-1.18
t=6525.69s | axis_6 | normal → alert | residual=4.61
t=6527.67s | axis_6 | alert → error | residual=10.78
t=6529.65s | axis_6 | error → normal | residual=-1.30
t=6531.57s | axis_6 | normal → alert | residual=4.07
t=6533.50s | axis_6 | alert → normal | residual=-1.67
t=6577.57s | axis_6 | normal → alert | residual=9.34
t=6581.42s | axis_6 | alert → normal | residual=-1.27
t=6658.94s | axis_6 | normal → error | residual=12.42
t=6660.83s | axis_6 | error → normal | residual=-0.86
t=6681.78s | axis_6 | normal → alert | residual=5.20
t=6683.69s | axis_6 | alert → normal | residual=-1.43
t=6704.60s | axis_6 | normal → alert | residual=4.29
t=6706.56s | axis_6 | alert → normal | residual=-0.51
t=6736.86s | axis_6 | normal → alert | residual=5.05
t=6738.84s | axis_6 | alert → normal | residual=-1.24
t=6744.49s | axis_6 | normal → alert | residual=4.82
t=6746.44s | axis_6 | alert → normal | residual=-1.09
t=6757.81s | axis_6 | normal → alert | residual=4.00
t=6759.77s | axis_6 | alert → normal | residual=-0.46
t=6849.29s | axis_6 | normal → alert | residual=4.09
t=6851.22s | axis_6 | alert → normal | residual=-1.01
t=6862.64s | axis_6 | normal → alert | residual=6.91
t=6864.60s | axis_6 | alert → normal | residual=-0.05
