t=181.72s | axis_3 | normal → alert | residual=12.43
t=183.64s | axis_3 | alert → normal | residual=-1.14
t=204.86s | axis_3 | normal → alert | residual=9.78
t=206.77s | axis_3 | alert → normal | residual=-1.14
t=227.98s | axis_3 | normal → alert | residual=12.60
t=229.93s | axis_3 | alert → normal | residual=-1.53
t=280.91s | axis_3 | normal → error | residual=15.14
t=282.78s | axis_3 | error → normal | residual=-7.01
t=391.23s | axis_3 | normal → alert | residual=12.25
t=393.20s | axis_3 | alert → normal | residual=-0.81
t=506.97s | axis_3 | normal → error | residual=18.84
t=508.93s | axis_3 | error → normal | residual=-1.42
t=953.50s | axis_3 | normal → error | residual=19.98
t=955.39s | axis_3 | error → normal | residual=-4.15
t=968.75s | axis_3 | normal → error | residual=19.53
t=970.64s | axis_3 | error → normal | residual=-1.14
t=1048.18s | axis_3 | normal → error | residual=20.82
t=1050.09s | axis_3 | error → normal | residual=-7.71
t=1066.85s | axis_3 | normal → error | residual=22.10
t=1068.83s | axis_3 | error → normal | residual=-4.81
t=1072.63s | axis_3 | normal → alert | residual=14.16
t=1074.55s | axis_3 | alert → normal | residual=-1.48
t=1106.62s | axis_3 | normal → alert | residual=9.65
t=1112.79s | axis_3 | alert → normal | residual=3.31
t=1116.64s | axis_3 | normal → error | residual=22.54
t=1118.55s | axis_3 | error → normal | residual=-5.77
t=1129.99s | axis_3 | normal → alert | residual=9.42
t=1131.88s | axis_3 | alert → normal | residual=-0.30
t=1198.94s | axis_3 | normal → error | residual=18.94
t=1200.85s | axis_3 | error → normal | residual=-1.34
t=1612.17s | axis_3 | normal → alert | residual=9.17
t=1614.16s | axis_3 | alert → normal | residual=-1.46
t=1616.06s | axis_3 | normal → alert | residual=9.97
t=1617.94s | axis_3 | alert → normal | residual=-0.92
t=1650.38s | axis_3 | normal → error | residual=23.40
t=1652.35s | axis_3 | error → normal | residual=0.54
t=1660.07s | axis_3 | normal → alert | residual=9.58
t=1662.03s | axis_3 | alert → normal | residual=2.97
t=1664.02s | axis_3 | normal → error | residual=25.64
t=1667.82s | axis_3 | error → normal | residual=-1.29
t=1709.50s | axis_3 | normal → error | residual=22.80
t=1711.43s | axis_3 | error → normal | residual=-1.30
t=1713.33s | axis_3 | normal → error | residual=15.43
t=1717.24s | axis_3 | error → normal | residual=-1.55
t=2447.54s | axis_3 | normal → error | residual=22.86
t=2449.50s | axis_3 | error → normal | residual=-6.40
t=2459.04s | axis_3 | normal → alert | residual=9.22
t=2461.00s | axis_3 | alert → normal | residual=-1.04
t=2520.89s | axis_3 | normal → alert | residual=14.81
t=2522.80s | axis_3 | alert → normal | residual=3.92
t=2547.09s | axis_3 | normal → error | residual=20.06
t=2549.05s | axis_3 | error → normal | residual=-7.25
t=2558.56s | axis_3 | normal → alert | residual=8.47
t=2560.43s | axis_3 | alert → normal | residual=-0.70
t=2564.24s | axis_3 | normal → error | residual=17.22
t=2566.15s | axis_3 | error → normal | residual=-1.34
t=2568.08s | axis_3 | normal → error | residual=15.82
t=2570.07s | axis_3 | error → normal | residual=2.29
t=2571.94s | axis_3 | normal → alert | residual=11.59
t=2573.95s | axis_3 | alert → normal | residual=1.56
t=2615.29s | axis_3 | normal → alert | residual=8.65
t=2617.26s | axis_3 | alert → normal | residual=-4.68
t=2971.06s | axis_3 | normal → error | residual=16.94
t=2973.01s | axis_3 | error → normal | residual=3.58
t=2978.58s | axis_3 | normal → alert | residual=9.13
t=2980.45s | axis_3 | alert → normal | residual=-0.74
t=3010.75s | axis_3 | normal → error | residual=18.03
t=3012.61s | axis_3 | error → normal | residual=-0.76
t=3215.64s | axis_3 | normal → alert | residual=9.43
t=3217.57s | axis_3 | alert → normal | residual=-0.14
t=3280.43s | axis_3 | normal → error | residual=17.25
t=3282.32s | axis_3 | error → normal | residual=-1.61
t=3529.66s | axis_3 | normal → alert | residual=14.37
t=3531.55s | axis_3 | alert → normal | residual=-4.98
t=3605.68s | axis_3 | normal → alert | residual=10.54
t=3607.55s | axis_3 | alert → normal | residual=-0.38
t=3670.61s | axis_3 | normal → error | residual=32.19
t=3672.54s | axis_3 | error → alert | residual=11.22
t=3674.46s | axis_3 | alert → normal | residual=-1.35
t=3676.44s | axis_3 | normal → alert | residual=8.11
t=3678.36s | axis_3 | alert → normal | residual=-1.30
t=3712.02s | axis_3 | normal → error | residual=18.92
t=3713.89s | axis_3 | error → normal | residual=-4.92
t=3737.16s | axis_3 | normal → alert | residual=14.21
t=3739.07s | axis_3 | alert → normal | residual=-0.01
t=3763.36s | axis_3 | normal → alert | residual=9.94
t=3765.24s | axis_3 | alert → normal | residual=-8.26
t=3852.77s | axis_3 | normal → alert | residual=8.43
t=3854.80s | axis_3 | alert → normal | residual=2.69
t=3965.22s | axis_3 | normal → error | residual=17.97
t=3967.20s | axis_3 | error → normal | residual=-6.43
