t=227.98s | axis_4 | normal → alert | residual=3.66
t=229.93s | axis_4 | alert → normal | residual=-0.51
t=261.61s | axis_4 | normal → error | residual=10.55
t=263.50s | axis_4 | error → normal | residual=-1.70
t=265.46s | axis_4 | normal → alert | residual=3.84
t=267.46s | axis_4 | alert → normal | residual=-1.23
t=269.37s | axis_4 | normal → error | residual=8.26
t=271.33s | axis_4 | error → normal | residual=-0.92
t=326.18s | axis_4 | normal → alert | residual=6.06
t=328.05s | axis_4 | alert → normal | residual=-1.71
t=333.79s | axis_4 | normal → error | residual=8.13
t=335.76s | axis_4 | error → normal | residual=-0.35
t=345.30s | axis_4 | normal → alert | residual=3.31
t=347.27s | axis_4 | alert → normal | residual=0.90
t=375.83s | axis_4 | normal → error | residual=8.30
t=377.67s | axis_4 | error → normal | residual=-0.93
t=455.87s | axis_4 | normal → error | residual=9.72
t=457.75s | axis_4 | error → normal | residual=-1.15
t=471.10s | axis_4 | normal → alert | residual=3.14
t=472.99s | axis_4 | alert → normal | residual=-1.37
t=499.37s | axis_4 | normal → alert | residual=3.77
t=501.33s | axis_4 | alert → normal | residual=-1.62
t=945.69s | axis_4 | normal → alert | residual=3.53
t=947.57s | axis_4 | alert → normal | residual=-1.29
t=1183.33s | axis_4 | normal → error | residual=9.00
t=1185.26s | axis_4 | error → normal | residual=-0.04
t=1194.93s | axis_4 | normal → alert | residual=4.96
t=1196.94s | axis_4 | alert → normal | residual=-0.71
t=1642.56s | axis_4 | normal → alert | residual=5.49
t=1644.55s | axis_4 | alert → normal | residual=-1.44
t=1694.26s | axis_4 | normal → alert | residual=5.92
t=1696.15s | axis_4 | alert → normal | residual=-0.44
t=2449.50s | axis_4 | normal → alert | residual=5.99
t=2451.43s | axis_4 | alert → normal | residual=-1.23
t=2453.31s | axis_4 | normal → alert | residual=3.51
t=2455.22s | axis_4 | alert → normal | residual=-0.53
t=2499.60s | axis_4 | normal → alert | residual=6.49
t=2501.51s | axis_4 | alert → normal | residual=-1.09
t=2520.89s | axis_4 | normal → alert | residual=4.62
t=2522.80s | axis_4 | alert → normal | residual=-0.22
t=2549.05s | axis_4 | normal → error | residual=7.88
t=2550.96s | axis_4 | error → normal | residual=-1.33
t=2571.94s | axis_4 | normal → alert | residual=3.54
t=2573.95s | axis_4 | alert → normal | residual=-1.65
t=2622.89s | axis_4 | normal → error | residual=12.76
t=2624.85s | axis_4 | error → normal | residual=-0.72
t=3001.09s | axis_4 | normal → error | residual=8.75
t=3003.09s | axis_4 | error → normal | residual=-1.27
t=3206.01s | axis_4 | normal → alert | residual=5.15
t=3207.95s | axis_4 | alert → normal | residual=-1.57
t=3259.39s | axis_4 | normal → alert | residual=3.88
t=3261.30s | axis_4 | alert → normal | residual=-0.32
t=3314.75s | axis_4 | normal → error | residual=10.54
t=3316.75s | axis_4 | error → normal | residual=-0.46
t=3326.34s | axis_4 | normal → alert | residual=4.60
t=3328.31s | axis_4 | alert → normal | residual=-0.75
t=3412.06s | axis_4 | normal → alert | residual=4.84
t=3413.92s | axis_4 | alert → normal | residual=-1.14
t=3461.26s | axis_4 | normal → error | residual=7.52
t=3463.21s | axis_4 | error → normal | residual=-1.45
t=3469.00s | axis_4 | normal → alert | residual=5.75
t=3470.83s | axis_4 | alert → normal | residual=-0.47
t=3529.66s | axis_4 | normal → error | residual=12.48
t=3531.55s | axis_4 | error → normal | residual=0.62
t=3537.39s | axis_4 | normal → error | residual=9.63
t=3539.32s | axis_4 | error → normal | residual=0.12
t=3596.01s | axis_4 | normal → error | residual=9.34
t=3597.91s | axis_4 | error → normal | residual=-1.43
t=3599.88s | axis_4 | normal → alert | residual=3.52
t=3601.78s | axis_4 | alert → normal | residual=-1.56
t=3603.74s | axis_4 | normal → alert | residual=5.65
t=3605.68s | axis_4 | alert → normal | residual=-1.11
t=3651.33s | axis_4 | normal → alert | residual=3.79
t=3653.26s | axis_4 | alert → normal | residual=-0.39
t=3676.44s | axis_4 | normal → alert | residual=3.08
t=3678.36s | axis_4 | alert → normal | residual=-0.96
t=3763.36s | axis_4 | normal → error | residual=12.25
t=3765.24s | axis_4 | error → normal | residual=0.21
t=3771.08s | axis_4 | normal → error | residual=9.00
t=3772.87s | axis_4 | error → normal | residual=0.25
t=3946.35s | axis_4 | normal → alert | residual=3.99
t=3948.22s | axis_4 | alert → normal | residual=-1.43
t=3959.48s | axis_4 | normal → alert | residual=3.65
t=3961.36s | axis_4 | alert → normal | residual=-1.18
t=4003.02s | axis_4 | normal → alert | residual=5.96
t=4004.96s | axis_4 | alert → normal | residual=-0.64
t=4010.69s | axis_4 | normal → error | residual=9.29
t=4012.64s | axis_4 | error → normal | residual=-0.12
t=4054.41s | axis_4 | normal → alert | residual=3.69
t=4056.30s | axis_4 | alert → normal | residual=-1.30
t=4111.60s | axis_4 | normal → error | residual=9.07
t=4113.53s | axis_4 | error → normal | residual=-0.22
t=5241.66s | axis_4 | normal → alert | residual=6.33
t=5247.90s | axis_4 | alert → normal | residual=0.86
t=5344.57s | axis_4 | normal → alert | residual=4.15
t=5346.45s | axis_4 | alert → normal | residual=-1.24
t=5363.71s | axis_4 | normal → alert | residual=5.15
t=5365.62s | axis_4 | alert → normal | residual=-1.01
t=5395.93s | axis_4 | normal → alert | residual=4.89
t=5397.92s | axis_4 | alert → normal | residual=-1.16
t=5451.02s | axis_4 | normal → alert | residual=6.65
t=5452.91s | axis_4 | alert → normal | residual=-1.34
t=5458.66s | axis_4 | normal → error | residual=7.26
t=5460.57s | axis_4 | error → normal | residual=0.19
t=5534.17s | axis_4 | normal → alert | residual=3.57
t=5536.09s | axis_4 | alert → normal | residual=-0.16
t=5634.86s | axis_4 | normal → alert | residual=3.53
t=5636.71s | axis_4 | alert → normal | residual=2.28
t=5686.23s | axis_4 | normal → alert | residual=3.15
t=5688.15s | axis_4 | alert → normal | residual=-1.20
t=5752.79s | axis_4 | normal → alert | residual=3.41
t=5754.72s | axis_4 | alert → normal | residual=-0.82
t=5788.76s | axis_4 | normal → alert | residual=5.10
t=5790.73s | axis_4 | alert → normal | residual=-0.85
t=5838.06s | axis_4 | normal → alert | residual=5.70
t=5840.08s | axis_4 | alert → normal | residual=0.67
t=5845.87s | axis_4 | normal → error | residual=8.96
t=5847.80s | axis_4 | error → normal | residual=-0.69
t=5899.03s | axis_4 | normal → error | residual=7.94
t=5900.94s | axis_4 | error → normal | residual=-0.37
t=5950.62s | axis_4 | normal → error | residual=7.79
t=5952.57s | axis_4 | error → normal | residual=0.15
t=5996.13s | axis_4 | normal → error | residual=7.50
t=5998.08s | axis_4 | error → normal | residual=-1.33
t=6047.29s | axis_4 | normal → alert | residual=5.67
t=6049.22s | axis_4 | alert → normal | residual=-1.10
t=6111.56s | axis_4 | normal → alert | residual=5.62
t=6113.47s | axis_4 | alert → normal | residual=-1.35
t=6161.08s | axis_4 | normal → error | residual=9.07
t=6163.19s | axis_4 | error → normal | residual=-0.62
t=6360.90s | axis_4 | normal → alert | residual=3.77
t=6364.78s | axis_4 | alert → normal | residual=1.71
t=6378.42s | axis_4 | normal → alert | residual=3.11
t=6380.25s | axis_4 | alert → normal | residual=-0.79
t=6423.46s | axis_4 | normal → error | residual=10.60
t=6425.37s | axis_4 | error → normal | residual=-1.83
t=6478.28s | axis_4 | normal → alert | residual=4.91
t=6480.12s | axis_4 | alert → normal | residual=-1.41
t=6484.00s | axis_4 | normal → alert | residual=3.21
t=6485.89s | axis_4 | alert → normal | residual=0.18
t=6579.49s | axis_4 | normal → error | residual=11.59
t=6581.42s | axis_4 | error → normal | residual=-1.52
t=6630.28s | axis_4 | normal → error | residual=7.48
t=6632.14s | axis_4 | error → normal | residual=-0.30
t=6651.22s | axis_4 | normal → alert | residual=3.80
t=6653.17s | axis_4 | alert → normal | residual=-0.29
t=6683.69s | axis_4 | normal → alert | residual=3.25
t=6685.62s | axis_4 | alert → normal | residual=-1.18
t=6736.86s | axis_4 | normal → alert | residual=3.04
t=6738.84s | axis_4 | alert → normal | residual=-1.22
t=6803.55s | axis_4 | normal → alert | residual=3.29
t=6805.56s | axis_4 | alert → normal | residual=-0.86
t=6841.56s | axis_4 | normal → alert | residual=3.98
t=6843.57s | axis_4 | alert → normal | residual=-0.02
t=6893.05s | axis_4 | normal → alert | residual=5.18
t=6894.95s | axis_4 | alert → normal | residual=-1.31
t=6912.28s | axis_4 | normal → alert | residual=3.34
t=6914.23s | axis_4 | alert → normal | residual=1.27
t=6944.40s | axis_4 | normal → alert | residual=5.84
t=6946.29s | axis_4 | alert → normal | residual=0.75
t=6952.05s | axis_4 | normal → error | residual=11.17
t=6953.95s | axis_4 | error → normal | residual=0.01
t=7039.50s | axis_4 | normal → alert | residual=3.89
t=7041.37s | axis_4 | alert → normal | residual=-1.56
t=7066.69s | axis_4 | normal → alert | residual=3.47
t=7068.53s | axis_4 | alert → normal | residual=-0.83
t=7110.52s | axis_4 | normal → alert | residual=5.01
t=7112.45s | axis_4 | alert → normal | residual=-0.78
t=7197.61s | axis_4 | normal → error | residual=12.15
t=7199.54s | axis_4 | error → normal | residual=0.23
t=7205.20s | axis_4 | normal → error | residual=8.00
t=7207.14s | axis_4 | error → normal | residual=0.18
t=7220.76s | axis_4 | normal → alert | residual=4.43
t=7222.69s | axis_4 | alert → normal | residual=-1.27
t=7271.96s | axis_4 | normal → alert | residual=4.84
t=7273.84s | axis_4 | alert → normal | residual=-1.04
t=7361.05s | axis_4 | normal → alert | residual=4.46
t=7362.91s | axis_4 | alert → normal | residual=-0.49
t=7389.95s | axis_4 | normal → alert | residual=3.06
t=7391.82s | axis_4 | alert → normal | residual=-1.10
t=7412.43s | axis_4 | normal → error | residual=8.97
t=7414.40s | axis_4 | error → normal | residual=-0.78
t=7416.29s | axis_4 | normal → alert | residual=3.35
t=7418.18s | axis_4 | alert → normal | residual=-0.34
t=7526.55s | axis_4 | normal → alert | residual=3.52
t=7528.52s | axis_4 | alert → normal | residual=-1.24
t=7532.35s | axis_4 | normal → alert | residual=3.25
t=7534.29s | axis_4 | alert → normal | residual=0.38
t=7575.86s | axis_4 | normal → alert | residual=4.60
t=7577.82s | axis_4 | alert → normal | residual=0.30
t=7583.57s | axis_4 | normal → error | residual=9.05
t=7585.53s | axis_4 | error → normal | residual=0.23
t=7630.97s | axis_4 | normal → alert | residual=4.56
t=7632.94s | axis_4 | alert → normal | residual=-1.42
t=7650.09s | axis_4 | normal → alert | residual=4.46
t=7652.05s | axis_4 | alert → normal | residual=-0.89
t=7680.58s | axis_4 | normal → error | residual=8.49
t=7682.58s | axis_4 | error → normal | residual=-1.68
t=7684.49s | axis_4 | normal → alert | residual=4.98
t=7686.47s | axis_4 | alert → normal | residual=-0.36
t=7733.70s | axis_4 | normal → error | residual=8.66
t=7735.61s | axis_4 | error → normal | residual=-1.05
