t=4012.64s | axis_2 | error → normal | residual=-7.74
t=4025.84s | axis_2 | normal → alert | residual=15.49
t=4027.81s | axis_2 | alert → normal | residual=-4.66
t=4061.91s | axis_2 | normal → error | residual=30.15
t=4063.80s | axis_2 | error → normal | residual=-8.47
t=4073.46s | axis_2 | normal → alert | residual=10.87
t=4075.41s | axis_2 | alert → normal | residual=1.25
t=4111.60s | axis_2 | normal → error | residual=35.31
t=4113.53s | axis_2 | error → normal | residual=-7.96
t=4115.44s | axis_2 | normal → alert | residual=10.06
t=4117.30s | axis_2 | alert → normal | residual=3.24
t=4126.75s | axis_2 | normal → error | residual=27.12
t=4128.72s | axis_2 | error → normal | residual=1.83
t=5163.91s | axis_2 | normal → error | residual=20.39
t=5167.83s | axis_2 | error → normal | residual=-1.18
t=5257.59s | axis_2 | normal → alert | residual=12.75
t=5259.55s | axis_2 | alert → normal | residual=-2.95
t=5263.36s | axis_2 | normal → alert | residual=11.45
t=5265.20s | axis_2 | alert → normal | residual=-6.99
t=5414.93s | axis_2 | normal → alert | residual=10.27
t=5416.82s | axis_2 | alert → error | residual=24.33
t=5418.71s | axis_2 | error → normal | residual=1.84
t=5451.02s | axis_2 | normal → alert | residual=12.59
t=5452.91s | axis_2 | alert → normal | residual=1.50
t=5551.38s | axis_2 | normal → alert | residual=19.39
t=5553.38s | axis_2 | alert → normal | residual=3.19
t=5593.22s | axis_2 | normal → alert | residual=15.79
t=5595.16s | axis_2 | alert → normal | residual=-8.52
t=5634.86s | axis_2 | normal → alert | residual=12.65
t=5636.71s | axis_2 | alert → normal | residual=-1.03
t=5644.46s | axis_2 | normal → alert | residual=11.68
t=5646.30s | axis_2 | alert → normal | residual=-8.11
t=5746.92s | axis_2 | normal → alert | residual=17.59
t=5748.92s | axis_2 | alert → normal | residual=-4.29
t=5754.72s | axis_2 | normal → alert | residual=10.49
t=5756.58s | axis_2 | alert → normal | residual=0.56
t=5804.08s | axis_2 | normal → alert | residual=14.06
t=5805.98s | axis_2 | alert → normal | residual=0.98
t=5807.84s | axis_2 | normal → alert | residual=10.63
t=5809.72s | axis_2 | alert → error | residual=39.47
t=5811.56s | axis_2 | error → normal | residual=-6.57
t=5861.09s | axis_2 | normal → alert | residual=14.88
t=5862.94s | axis_2 | alert → normal | residual=-2.13
t=5895.17s | axis_2 | normal → error | residual=20.02
t=5897.08s | axis_2 | error → normal | residual=1.61
t=5912.58s | axis_2 | normal → alert | residual=12.91
t=5914.45s | axis_2 | alert → normal | residual=-3.23
t=5950.62s | axis_2 | normal → error | residual=32.29
t=5952.57s | axis_2 | error → normal | residual=-7.92
t=5965.66s | axis_2 | normal → error | residual=26.10
t=5967.58s | axis_2 | error → normal | residual=-0.89
t=6017.08s | axis_2 | normal → error | residual=20.15
t=6022.80s | axis_2 | error → normal | residual=5.52
t=6056.75s | axis_2 | normal → error | residual=25.48
t=6058.69s | axis_2 | error → normal | residual=-4.41
t=6066.38s | axis_2 | normal → alert | residual=10.19
t=6068.31s | axis_2 | alert → error | residual=33.89
t=6070.21s | axis_2 | error → normal | residual=-0.97
t=6111.56s | axis_2 | normal → alert | residual=13.39
t=6113.47s | axis_2 | alert → normal | residual=1.69
t=6119.33s | axis_2 | normal → alert | residual=10.32
t=6121.33s | axis_2 | alert → normal | residual=-1.66
t=6172.83s | axis_2 | normal → alert | residual=17.39
t=6174.73s | axis_2 | alert → normal | residual=-2.97
t=6178.60s | axis_2 | normal → alert | residual=11.89
t=6180.47s | axis_2 | alert → normal | residual=6.62
t=6224.41s | axis_2 | normal → error | residual=23.31
t=6226.44s | axis_2 | error → normal | residual=-6.15
t=6230.30s | axis_2 | normal → alert | residual=18.39
t=6232.14s | axis_2 | alert → normal | residual=1.09
t=6235.96s | axis_2 | normal → error | residual=32.78
t=6237.92s | axis_2 | error → normal | residual=4.24
t=6374.64s | axis_2 | normal → error | residual=21.20
t=6376.51s | axis_2 | error → normal | residual=1.36
t=6384.11s | axis_2 | normal → alert | residual=10.88
t=6385.98s | axis_2 | alert → normal | residual=-1.34
t=6431.14s | axis_2 | normal → error | residual=27.59
t=6433.02s | axis_2 | error → normal | residual=-7.48
t=6478.28s | axis_2 | normal → alert | residual=11.44
t=6480.12s | axis_2 | alert → normal | residual=0.15
t=6487.80s | axis_2 | normal → error | residual=21.74
t=6489.71s | axis_2 | error → normal | residual=-0.94
t=6493.57s | axis_2 | normal → alert | residual=10.56
t=6495.50s | axis_2 | alert → normal | residual=0.87
t=6499.30s | axis_2 | normal → error | residual=37.67
t=6501.29s | axis_2 | error → normal | residual=-0.28
t=6527.67s | axis_2 | normal → alert | residual=12.53
t=6529.65s | axis_2 | alert → normal | residual=1.04
t=6546.95s | axis_2 | normal → alert | residual=11.48
t=6548.87s | axis_2 | alert → normal | residual=1.27
t=6587.19s | axis_2 | normal → error | residual=33.92
