t=179.91s | axis_8 | normal → alert | residual=1.19
t=181.72s | axis_8 | alert → normal | residual=-0.12
t=229.93s | axis_8 | normal → alert | residual=1.00
t=231.81s | axis_8 | alert → normal | residual=-0.11
t=286.59s | axis_8 | normal → error | residual=3.76
t=288.55s | axis_8 | error → normal | residual=-0.09
t=351.14s | axis_8 | normal → error | residual=4.25
t=353.04s | axis_8 | error → normal | residual=-0.12
t=400.90s | axis_8 | normal → error | residual=3.66
t=402.77s | axis_8 | error → normal | residual=-0.06
t=472.99s | axis_8 | normal → error | residual=3.89
t=474.90s | axis_8 | error → normal | residual=-0.06
t=970.64s | axis_8 | normal → alert | residual=1.67
t=972.48s | axis_8 | alert → normal | residual=-0.12
t=1020.01s | axis_8 | normal → alert | residual=2.94
t=1021.93s | axis_8 | alert → normal | residual=0.90
t=1072.63s | axis_8 | normal → alert | residual=1.20
t=1076.49s | axis_8 | alert → normal | residual=-0.17
t=1200.85s | axis_8 | normal → alert | residual=1.06
t=1202.72s | axis_8 | alert → normal | residual=-0.18
t=1612.17s | axis_8 | normal → alert | residual=1.03
t=1616.06s | axis_8 | alert → normal | residual=-0.09
t=1665.94s | axis_8 | normal → alert | residual=1.13
t=1669.66s | axis_8 | alert → normal | residual=-0.07
t=1715.33s | axis_8 | normal → alert | residual=1.04
t=1719.12s | axis_8 | alert → normal | residual=-0.13
t=2472.86s | axis_8 | normal → alert | residual=2.85
t=2474.81s | axis_8 | alert → normal | residual=0.61
t=2522.80s | axis_8 | normal → alert | residual=2.73
t=2524.73s | axis_8 | alert → normal | residual=0.67
t=2573.95s | axis_8 | normal → alert | residual=1.03
t=2575.86s | axis_8 | alert → normal | residual=-0.14
t=2974.87s | axis_8 | normal → alert | residual=1.03
t=2978.58s | axis_8 | alert → normal | residual=-0.07
t=3025.98s | axis_8 | normal → error | residual=3.10
t=3027.88s | axis_8 | error → normal | residual=-0.12
t=3231.22s | axis_8 | normal → error | residual=4.09
t=3233.10s | axis_8 | error → normal | residual=-0.11
t=3280.43s | axis_8 | normal → alert | residual=1.16
t=3282.32s | axis_8 | alert → normal | residual=0.98
t=3332.28s | axis_8 | normal → alert | residual=1.18
t=3334.25s | axis_8 | alert → normal | residual=-0.23
t=3385.58s | axis_8 | normal → alert | residual=2.87
t=3387.53s | axis_8 | alert → normal | residual=-0.17
t=3486.27s | axis_8 | normal → error | residual=3.61
t=3488.17s | axis_8 | error → normal | residual=-0.05
t=3554.84s | axis_8 | normal → error | residual=3.12
t=3556.69s | axis_8 | error → normal | residual=-0.03
t=3620.83s | axis_8 | normal → alert | residual=2.93
t=3622.77s | axis_8 | alert → normal | residual=-0.17
t=3672.54s | axis_8 | normal → alert | residual=1.01
t=3676.44s | axis_8 | alert → normal | residual=-0.18
t=3788.22s | axis_8 | normal → alert | residual=2.80
t=3790.23s | axis_8 | alert → normal | residual=0.39
t=3858.63s | axis_8 | normal → error | residual=4.33
t=3860.58s | axis_8 | error → normal | residual=-0.12
t=3971.02s | axis_8 | normal → error | residual=4.01
t=3972.90s | axis_8 | error → normal | residual=-0.16
t=4027.81s | axis_8 | normal → alert | residual=2.72
t=4029.77s | axis_8 | alert → normal | residual=0.56
t=4079.30s | axis_8 | normal → error | residual=3.80
t=4101.88s | axis_8 | error → normal | residual=-0.16
t=4128.72s | axis_8 | normal → alert | residual=2.90
t=4130.61s | axis_8 | alert → normal | residual=0.67
t=5167.83s | axis_8 | normal → alert | residual=1.18
t=5171.63s | axis_8 | alert → normal | residual=-0.09
t=5265.20s | axis_8 | normal → alert | residual=1.05
t=5269.06s | axis_8 | alert → normal | residual=-0.24
t=5316.25s | axis_8 | normal → alert | residual=1.06
t=5320.11s | axis_8 | alert → normal | residual=-0.14
t=5369.46s | axis_8 | normal → error | residual=3.61
t=5371.38s | axis_8 | error → normal | residual=-0.21
t=5418.71s | axis_8 | normal → alert | residual=1.01
t=5422.62s | axis_8 | alert → normal | residual=-0.15
t=5475.99s | axis_8 | normal → error | residual=4.64
t=5477.94s | axis_8 | error → normal | residual=-0.04
t=5555.20s | axis_8 | normal → alert | residual=1.10
t=5559.06s | axis_8 | alert → normal | residual=-0.13
t=5606.62s | axis_8 | normal → alert | residual=1.01
t=5610.46s | axis_8 | alert → normal | residual=-0.15
t=5657.77s | axis_8 | normal → alert | residual=1.04
t=5661.62s | axis_8 | alert → normal | residual=-0.14
t=5710.87s | axis_8 | normal → alert | residual=1.17
t=5712.79s | axis_8 | alert → normal | residual=-0.22
t=5813.46s | axis_8 | normal → alert | residual=1.02
t=5815.40s | axis_8 | alert → normal | residual=-0.15
t=5862.94s | axis_8 | normal → alert | residual=2.98
t=5864.85s | axis_8 | alert → normal | residual=0.71
t=5916.33s | axis_8 | normal → error | residual=3.60
t=5918.33s | axis_8 | error → normal | residual=-0.14
t=6136.94s | axis_8 | normal → alert | residual=1.18
t=6138.86s | axis_8 | alert → normal | residual=-0.09
t=6186.03s | axis_8 | normal → alert | residual=1.11
t=6189.93s | axis_8 | alert → normal | residual=-0.17
t=6237.92s | axis_8 | normal → error | residual=3.76
t=6239.86s | axis_8 | error → normal | residual=0.82
t=6387.92s | axis_8 | normal → alert | residual=1.03
t=6389.83s | axis_8 | alert → normal | residual=-0.16
t=6448.32s | axis_8 | normal → alert | residual=2.90
t=6450.32s | axis_8 | alert → normal | residual=-0.12
t=6501.29s | axis_8 | normal → alert | residual=1.41
t=6503.15s | axis_8 | alert → normal | residual=0.89
t=6552.76s | axis_8 | normal → alert | residual=2.93
t=6554.75s | axis_8 | alert → normal | residual=-0.09
t=6604.01s | axis_8 | normal → alert | residual=2.85
t=6605.93s | axis_8 | alert → normal | residual=0.76
t=6657.00s | axis_8 | normal → alert | residual=1.60
t=6658.94s | axis_8 | alert → normal | residual=-0.11
t=6761.72s | axis_8 | normal → alert | residual=1.05
t=6763.70s | axis_8 | alert → normal | residual=-0.18
t=6811.26s | axis_8 | normal → alert | residual=1.01
t=6813.23s | axis_8 | alert → normal | residual=0.96
t=6866.53s | axis_8 | normal → alert | residual=1.12
t=6868.47s | axis_8 | alert → normal | residual=-0.20
t=6918.01s | axis_8 | normal → alert | residual=1.80
t=6920.00s | axis_8 | alert → normal | residual=-0.23
t=6969.52s | axis_8 | normal → alert | residual=2.93
t=6971.41s | axis_8 | alert → normal | residual=-0.16
t=7116.26s | axis_8 | normal → error | residual=3.63
t=7195.71s | axis_8 | error → normal | residual=-0.20
t=7222.69s | axis_8 | normal → alert | residual=2.93
t=7224.64s | axis_8 | alert → normal | residual=-0.14
t=7273.84s | axis_8 | normal → alert | residual=2.89
t=7275.73s | axis_8 | alert → normal | residual=0.37
t=7385.92s | axis_8 | normal → alert | residual=1.11
t=7389.95s | axis_8 | alert → normal | residual=-0.25
t=7439.55s | axis_8 | normal → alert | residual=1.19
t=7462.17s | axis_8 | alert → normal | residual=-0.18
t=7600.84s | axis_8 | normal → error | residual=3.03
t=7602.75s | axis_8 | error → normal | residual=0.59
t=7655.85s | axis_8 | normal → error | residual=4.41
t=7657.75s | axis_8 | error → normal | residual=-0.12
t=7707.20s | axis_8 | normal → error | residual=4.73
t=7709.15s | axis_8 | error → normal | residual=-0.16
t=7758.83s | axis_8 | normal → error | residual=3.98
t=7760.80s | axis_8 | error → normal | residual=-0.07
t=7821.69s | axis_8 | normal → alert | residual=2.83
t=7823.59s | axis_8 | alert → normal | residual=0.27
t=7872.86s | axis_8 | normal → alert | residual=2.92
t=7874.83s | axis_8 | alert → normal | residual=-0.13
t=7971.89s | axis_8 | normal → error | residual=3.15
t=7973.79s | axis_8 | error → normal | residual=0.04
t=8106.69s | axis_8 | normal → error | residual=3.79
t=8108.61s | axis_8 | error → normal | residual=-0.11
t=8209.38s | axis_8 | normal → alert | residual=1.07
t=8213.23s | axis_8 | alert → normal | residual=-0.13
t=8271.85s | axis_8 | normal → alert | residual=1.08
t=8273.68s | axis_8 | alert → normal | residual=0.85
t=8322.98s | axis_8 | normal → alert | residual=2.95
t=8324.88s | axis_8 | alert → normal | residual=-0.03
t=8374.61s | axis_8 | normal → error | residual=3.83
t=8376.51s | axis_8 | error → normal | residual=-0.18
t=8425.64s | axis_8 | normal → error | residual=3.05
t=8427.55s | axis_8 | error → normal | residual=0.53
t=8527.98s | axis_8 | normal → alert | residual=1.11
t=8531.90s | axis_8 | alert → normal | residual=-0.10
t=8579.56s | axis_8 | normal → alert | residual=2.75
t=8581.48s | axis_8 | alert → normal | residual=0.77
t=8631.20s | axis_8 | normal → alert | residual=1.22
t=8633.10s | axis_8 | alert → normal | residual=-0.18
t=8738.89s | axis_8 | normal → alert | residual=1.04
t=8740.89s | axis_8 | alert → normal | residual=-0.18
t=8795.87s | axis_8 | normal → alert | residual=1.11
t=8801.62s | axis_8 | alert → normal | residual=-0.28
t=8847.69s | axis_8 | normal → alert | residual=2.77
t=8849.70s | axis_8 | alert → normal | residual=-0.15
t=8898.92s | axis_8 | normal → error | residual=3.71
t=8900.83s | axis_8 | error → normal | residual=-0.10
t=8950.73s | axis_8 | normal → error | residual=3.04
t=8952.71s | axis_8 | error → normal | residual=-0.10
t=9052.05s | axis_8 | normal → alert | residual=1.06
t=9053.95s | axis_8 | alert → normal | residual=0.87
t=9104.81s | axis_8 | normal → alert | residual=1.08
t=9106.77s | axis_8 | alert → normal | residual=-0.17
t=9154.37s | axis_8 | normal → alert | residual=2.88
t=9156.27s | axis_8 | alert → normal | residual=0.69
t=9209.50s | axis_8 | normal → alert | residual=1.00
t=9213.32s | axis_8 | alert → normal | residual=-0.14
t=9262.81s | axis_8 | normal → error | residual=3.82
t=9264.67s | axis_8 | error → normal | residual=-0.11
t=9365.31s | axis_8 | normal → alert | residual=2.78
t=9367.30s | axis_8 | alert → normal | residual=0.46
t=9609.95s | axis_8 | normal → alert | residual=1.10
t=9611.83s | axis_8 | alert → normal | residual=-0.12
t=9659.39s | axis_8 | normal → alert | residual=1.10
